drug,disease
clonidine,hypertension
spironolactone,hypertension
glimepiride,diabetes
amlodipine,hypertension
amlodipine + atenolol,hypertension
hydrochlorothiazide,hypertension
empagliflozin + linagliptin,diabetes
atenolol,hypertension
s-amlodipine,hypertension
telmisartan + amlodipine + hydrochlorothiazide,hypertension
cilnidipine + metoprolol succinate + telmisartan,hypertension
telmisartan + amlodipine,hypertension
glimepiride + metformin,diabetes
human insulin,diabetes
glimepiride + metformin + voglibose,diabetes
insulin glulisine,diabetes
losartan + amlodipine,hypertension
brinzolamide,hypertension
amlodipine + hydrochlorothiazide,hypertension
amlodipine + metoprolol succinate,hypertension
azilsartan medoxomil,hypertension
telmisartan + metoprolol succinate,hypertension
atenolol + indapamide,hypertension
ambrisentan,hypertension
telmisartan + hydrochlorothiazide,hypertension
timolol + brimonidine,hypertension
sildenafil,hypertension
telmisartan + chlorthalidone,hypertension
clonidine + hydrochlorothiazide,hypertension
brimonidine,hypertension
telmisartan + atorvastatin,hypertension
s-amlodipine + telmisartan,hypertension
metoprolol succinate + ramipril,hypertension
diltiazem,hypertension
alogliptin,diabetes
amlodipine + lisinopril,hypertension
amlodipine + indapamide,hypertension
gliclazide + pioglitazone + metformin,diabetes
amlodipine + enalapril,hypertension
dulaglutide,diabetes
amlodipine + chlorthalidone,hypertension
losartan,hypertension
vildagliptin,diabetes
atenolol + chlorthalidone,hypertension
losartan + hydrochlorothiazide,hypertension
azilsartan medoxomil + chlorthalidone,hypertension
s-amlodipine + atenolol,hypertension
telmisartan,hypertension
atenolol + hydrochlorothiazide,hypertension
metoprolol succinate,hypertension
voglibose,diabetes
gliclazide,diabetes
metformin + voglibose,diabetes
olmesartan medoxomil + amlodipine + hydrochlorothiazide,hypertension
metformin + vildagliptin,diabetes
labetalol,hypertension
methyldopa,hypertension
glimepiride + metformin + pioglitazone,diabetes
atenolol + losartan,hypertension
gliclazide + metformin,diabetes
saroglitazar,diabetes
propranolol,hypertension
metoprolol tartrate,hypertension
bisoprolol,hypertension
insulin glargine,diabetes
metformin,diabetes
bosentan,hypertension
bimatoprost,hypertension
brinzolamide + timolol,hypertension
atenolol + nifedipine,hypertension
benidipine,hypertension
bimatoprost + timolol,hypertension
pioglitazone,diabetes
metformin + methylcobalamin,diabetes
ramipril,hypertension
telmisartan + cilnidipine + chlorthalidone,hypertension
dorzolamide + timolol,hypertension
glibenclamide + metformin,diabetes
doxazosin,hypertension
enalapril,hypertension
cilnidipine + telmisartan,hypertension
efonidipine,hypertension
eplerenone,hypertension
repaglinide,diabetes
repaglinide + voglibose,diabetes
ambrisentan + tadalafil,hypertension
insulin lispro + insulin lispro protamine,diabetes
insulin lispro,diabetes
tadalafil,hypertension
repaglinide + metformin,diabetes
telmisartan + amlodipine + chlorthalidone,hypertension
enalapril + hydrochlorothiazide,hypertension
insulin isophane/nph + human insulin/soluble insulin,diabetes
teneligliptin,diabetes
metformin + teneligliptin,diabetes
hydroxychloroquine,diabetes
furosemide,hypertension
insulin aspart,diabetes
fimasartan,hypertension
glipizide + metformin,diabetes
empagliflozin,diabetes
acarbose,diabetes
glipizide,diabetes
dapagliflozin,diabetes
voglibose + metformin + gliclazide,diabetes
acarbose + metformin,diabetes
timolol,hypertension
empagliflozin + metformin,diabetes
pioglitazone + metformin,diabetes
nifedipine,hypertension
glimepiride + metformin + vitamin d,diabetes
glibenclamide,diabetes
nateglinide,diabetes
insulin isophane,diabetes
terazosin,hypertension
ramipril + hydrochlorothiazide,hypertension
sitagliptin,diabetes
sitagliptin + metformin,diabetes
canagliflozin,diabetes
betaxolol,hypertension
timolol + pilocarpine,hypertension
irbesartan,hypertension
irbesartan + hydrochlorothiazide,hypertension
telmisartan + indapamide,hypertension
saxagliptin + metformin,diabetes
bisoprolol + hydrochlorothiazide,hypertension
latanoprost,hypertension
minoxidil,hypertension
insulin detemir,diabetes
lisinopril,hypertension
lercanidipine,hypertension
indapamide,hypertension
travoprost,hypertension
timolol + latanoprost,hypertension
timolol + travoprost,hypertension
losartan + atenolol + hydrochlorothiazide,hypertension
cilnidipine + metoprolol succinate,hypertension
ramipril + losartan,hypertension
lisinopril + hydrochlorothiazide,hypertension
losartan + chlorthalidone,hypertension
atorvastatin + ramipril + metoprolol succinate,hypertension
atenolol + lercanidipine,hypertension
prazosin,hypertension
moxonidine,hypertension
s-metoprolol succinate,hypertension
desmopressin,diabetes
metolazone,hypertension
magnesium sulphate,hypertension
macitentan,hypertension
metformin + alpha lipoic acid,diabetes
metoprolol succinate + hydrochlorothiazide,hypertension
torasemide,hypertension
amlodipine + atorvastatin,hypertension
miglitol,diabetes
nebivolol,hypertension
insulin aspart + insulin aspart protamine,diabetes
nebivolol + s-amlodipine,hypertension
nebivolol + telmisartan,hypertension
glibenclamide + metformin + pioglitazone,diabetes
nebivolol + amlodipine,hypertension
olmesartan medoxomil + cilnidipine,hypertension
nebivolol + hydrochlorothiazide,hypertension
olmesartan medoxomil + cilnidipine + chlorthalidone,hypertension
nebivolol + cilnidipine,hypertension
cilnidipine + chlorthalidone,hypertension
nebivolol + indapamide,hypertension
nebivolol + valsartan,hypertension
chlorthalidone,hypertension
linagliptin,diabetes
metformin + linagliptin,diabetes
dapagliflozin + metformin,diabetes
olmesartan medoxomil,hypertension
olmesartan medoxomil + metoprolol succinate,hypertension
olmesartan medoxomil + amlodipine,hypertension
hydrochlorothiazide + olmesartan medoxomil,hypertension
olmesartan medoxomil + chlorthalidone,hypertension
saxagliptin,diabetes
olmesartan medoxomil + indapamide,hypertension
pioglitazone + glimepiride,diabetes
tadalafil ip,hypertension
saxagliptin + dapagliflozin,diabetes
insulin degludec + insulin aspart,diabetes
ripasudil,hypertension
cilnidipine,hypertension
remogliflozin etabonate + metformin,diabetes
remogliflozin etabonate,diabetes
metoprolol succinate + chlorthalidone,hypertension
amlodipine + ramipril,hypertension
telmisartan + rosuvastatin,hypertension
tafluprost,hypertension
insulin degludec,diabetes
perindopril erbumine + indapamide + amlodipine,hypertension
olmesartan medoxomil + amlodipine + chlorthalidone,hypertension
chlorthalidone + metoprolol succinate + cilnidipine,hypertension
losartan + amlodipine + hydrochlorothiazide,hypertension
losartan + amlodipine + chlorthalidone,hypertension
telmisartan + ramipril,hypertension
liraglutide,diabetes
evogliptin,diabetes
valsartan,hypertension
verapamil,hypertension
valsartan + hydrochlorothiazide,hypertension
canagliflozin + metformin,diabetes
liraglutide + insulin degludec,diabetes
